TimeStamp (ms), Device type, Position x, Position y, Position z, Rotation w, Rotation x, Rotation y, Rotation z, Primary value, Nib value, Grip value, Touchpad X value, Touchpad Y value, Button AX, Button BY
0, Version, 1.26.4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3.466857, Hmd, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3.466857, Primary, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, -0.007827878, -0.001846313, 0, 0
3.466857, Ndh, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3.466857, ButtonPress, Brush Size Slider, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3.466857, Hmd, 0.02438369, 1.150215, -0.03190953, 0.9754921, 0.1415579, 0.1684534, -0.0002138838, 0, 0, 0, 0, 0, 0, 0
3.466857, Primary, 0.2167422, 0.8677413, 0.2621281, 0.9960257, 0.06090425, -0.01778266, 0.06250796, 0, 0, 0, -0.007827878, -0.001846313, 0, 0
3.466857, Ndh, -0.3318572, 0.7379246, 0.3387066, 0.8639628, 0.2414318, -0.1833713, -0.4020621, 0, 0, 0, 0, 0, 0, 0
3.486857, Hmd, 0.02468821, 1.150109, -0.03204937, 0.9753688, 0.1418632, 0.1689088, -0.0003964602, 0, 0, 0, 0, 0, 0, 0
3.486857, Primary, 0.2179703, 0.866674, 0.2621206, 0.9960802, 0.06175736, -0.01661906, 0.06110619, 0, 0, 0, -0.007827878, -0.001846313, 0, 0
3.486857, Ndh, -0.3318572, 0.7379246, 0.3387066, 0.8639627, 0.2414319, -0.1833716, -0.4020623, 0, 0, 0, 0, 0, 0, 0
3.508185, Hmd, 0.0248757, 1.150083, -0.0319488, 0.9753342, 0.141934, 0.1690492, -0.0005083159, 0, 0, 0, 0, 0, 0, 0
3.508185, Primary, 0.2182425, 0.8666888, 0.2620119, 0.9961097, 0.0615918, -0.01653525, 0.06081354, 0, 0, 0, -0.007827878, -0.001846313, 0, 0
3.508185, Ndh, -0.3318572, 0.7379246, 0.3387066, 0.8639632, 0.2414308, -0.1833705, -0.4020621, 0, 0, 0, 0, 0, 0, 0
3.517783, Hmd, 0.02486709, 1.150076, -0.03200412, 0.9753124, 0.1419949, 0.1691235, -0.0006348024, 0, 0, 0, 0, 0, 0, 0
3.517783, Primary, 0.2183225, 0.866585, 0.2619804, 0.9961064, 0.06171976, -0.01652684, 0.06074313, 0, 0, 0, -0.007827878, -0.001846313, 0, 0
3.517783, Ndh, -0.3318572, 0.7379246, 0.3387066, 0.8639627, 0.2414322, -0.1833714, -0.4020619, 0, 0, 0, 0, 0, 0, 0
3.542725, Hmd, 0.02497581, 1.15004, -0.03190376, 0.9752511, 0.1421733, 0.1693255, -0.0009708982, 0, 0, 0, 0, 0, 0, 0
3.542725, Primary, 0.2184997, 0.8664341, 0.261951, 0.9960942, 0.06191854, -0.01629174, 0.06080152, 0, 0, 0, -0.007827878, -0.001846313, 0, 0
3.542725, Ndh, -0.3318572, 0.7379246, 0.3387066, 0.8639629, 0.241433, -0.1833718, -0.402061, 0, 0, 0, 0, 0, 0, 0
3.570318, Hmd, 0.02494487, 1.150001, -0.03201973, 0.9751907, 0.1423951, 0.1694865, -0.001074672, 0, 0, 0, 0, 0, 0, 0
3.570318, Primary, 0.218647, 0.8663296, 0.2619312, 0.9960895, 0.06209592, -0.01607982, 0.06075681, 0, 0, 0, -0.00779736, -0.001846313, 0, 0
3.570318, Ndh, -0.3318572, 0.7379246, 0.3387066, 0.8639627, 0.2414321, -0.1833717, -0.402062, 0, 0, 0, 0, 0, 0, 0
3.584565, Hmd, 0.02502948, 1.149968, -0.0319477, 0.9751332, 0.1427239, 0.1695409, -0.001073699, 0, 0, 0, 0, 0, 0, 0
